date,value
2014-08-01,0.25176773897032845
2014-09-01,0.2513410227405889
2014-10-01,0.2542071035234988
2014-11-01,0.2466863318840236
2014-12-01,0.2561607801096646
2015-01-01,0.22381638559885175
2015-02-01,0.20609469915282885
2015-03-01,0.22982416530261685
2015-04-01,0.21686244921093098
2015-05-01,0.2277712966238164
2015-06-01,0.22544878850854444
2015-07-01,0.21215726550282726
2015-08-01,0.19895998857307093
2015-09-01,0.19882481556792989
2015-10-01,0.20559036850759219
2015-11-01,0.17056697221817
2015-12-01,0.18301810720398742
2016-01-01,0.1858831009502657
2016-02-01,0.18251513535454025
2016-03-01,0.14773371341931504
2016-04-01,0.13309154739881918
2016-05-01,0.09119405756206816
2016-06-01,0.10424670426798845
2016-07-01,0.10488550134455561
2016-08-01,0.08119353795855826
